frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
102,0.102,0.98,1,0.075,0.138,0.048,-0.085,-0.052,0.0,0.0,0.068,0.0,0.026000000000000002,0.046,0.014000000000000002,0.1,0.01,0.08399999999999999,0.0,0.057999999999999996,0.0,0.0,0.002,0.0,0.0
103,0.103,0.98,1,0.077,0.131,0.044,-0.086,-0.051,0.0,0.0,0.066,0.0,0.016,0.026000000000000002,0.01,0.086,0.01,0.076,0.0,0.036,0.0,0.0,0.008,0.0,0.0
104,0.104,0.98,1,0.077,0.126,0.045,-0.086,-0.052,0.0,0.0,0.054000000000000006,0.0,0.006,0.024,0.004,0.066,0.0,0.062,0.0,0.03,0.0,0.0,0.024,0.0,0.0
105,0.105,0.98,1,0.072,0.135,0.05,-0.086,-0.052,0.0,0.0,0.05,0.0,0.002,0.052000000000000005,0.008,0.068,0.0,0.05600000000000001,0.0,0.034,0.0,0.0,0.026000000000000002,0.0,0.0
106,0.106,0.98,1,0.068,0.132,0.048,-0.085,-0.052,0.0,0.0,0.05,0.0,0.002,0.06,0.01,0.092,0.0,0.041999999999999996,0.0,0.036,0.0,0.0,0.018,0.0,0.0
107,0.107,0.98,1,0.076,0.132,0.046,-0.087,-0.052,0.0,0.0,0.05600000000000001,0.0,0.002,0.05600000000000001,0.014000000000000002,0.11000000000000001,0.0,0.041999999999999996,0.0,0.04,0.0,0.0,0.002,0.006,0.0
108,0.108,0.98,1,0.086,0.116,0.046,-0.088,-0.053,0.0,0.0,0.05600000000000001,0.0,0.006,0.04,0.008,0.11200000000000002,0.0,0.057999999999999996,0.0,0.048,0.0,0.0,0.0,0.016,0.0
109,0.109,0.98,1,0.085,0.122,0.047,-0.091,-0.053,0.0,0.0,0.05,0.0,0.006,0.036,0.006,0.094,0.0,0.057999999999999996,0.0,0.038,0.0,0.002,0.0,0.026000000000000002,0.0
110,0.11,0.98,1,0.059,0.11,0.046,-0.091,-0.053,0.0,0.0,0.041999999999999996,0.0,0.006,0.036,0.002,0.08,0.0,0.044,0.0,0.034,0.0,0.002,0.014000000000000002,0.018,0.0
111,0.111,0.98,1,0.075,0.101,0.043,-0.09,-0.053,0.0,0.0,0.048,0.0,0.006,0.048,0.002,0.074,0.0,0.022,0.0,0.026000000000000002,0.0,0.002,0.022,0.016,0.0
112,0.112,0.98,1,0.071,0.11,0.044,-0.09,-0.053,0.0,0.0,0.06999999999999999,0.0,0.012,0.062,0.006,0.08399999999999999,0.0,0.022,0.0,0.041999999999999996,0.0,0.0,0.028000000000000004,0.022,0.0
113,0.113,0.98,1,0.072,0.113,0.041,-0.09,-0.054,0.0,0.0,0.10400000000000001,0.0,0.016,0.09,0.006,0.086,0.0,0.03,0.0,0.048,0.0,0.0,0.02,0.028000000000000004,0.002
